time,title,visit,handler,content
2024-06-26,请问毕业生怎么退水卡？,89,总务部,请办理直饮机水卡退卡的毕业生，注意以下事项：时间: 6月26日至30日上午8:30-17：00地点：学4楼一层学生服务大厅注意：携带直饮水卡押金条，直饮水卡及相关证件（学生证或身份证）。
2024-06-21,什么时候开放社会车辆帮助毕业生行李搬运？行李托运的毕业季价格是多少？,134,总务部,一、有序开放社会车辆到宿舍楼下运送行李即日起至7月1日晚18:00，在保证校园交通安全的前提下，错时错峰开放毕业生搬家机动车进入学生生活区搬运行李。每日8:00-11:00、13:00-17:00、19:00-22:00，以1小时为一时段，每一时段限10辆车（全天合计100辆车）预约进入生活区，每辆车停留时间不得超过1小时。申请流程：毕业生请于车辆入校前一天（如当天时段有空余，也可预约当天时段），前往保卫处交通办（联系人：陈楠，电话：58808045）预约车辆入校，同时签署安全承诺书。预约成功后，车辆由艺术楼西侧地桩进出学生生活区。①学1—学4宿舍楼：车辆统一停放至学1—学4道路东侧；②学5—学7、学17、学18宿舍楼：车辆统一停放至学5东侧道路；③学8、学9宿舍楼：车辆统一停放至学8宿舍楼北侧；④学10—学15宿舍楼：车辆统一停放至所在宿舍楼北侧；⑤学16宿舍楼：车辆统一停放至学16宿舍楼广场内。二、为毕业生提供免费小推车总务部在各宿舍楼管处提供部分小推车，供毕业生免费借用。用完后，请及时归还，以方便其他同学使用。三、为有特殊需求的同学提供搬运协助服务总务部将组织机关党员、工人师傅成立志愿服务小分队，为身体不便的毕业生、搬运大型物品的毕业生，提供协助搬运服务。有需求的同学，可前往所在宿舍楼楼管处申请（请注明需求内容、搬运时间等），总务部统筹安排。四、为同学们提供防暑降温饮料6月26日至7月1日晚6:00，总务部在学生宿舍集中区，提供饮用水、酸梅汤等防暑降温饮料，供同学们取用。五、为同学们行李托运提供价格优惠2024年毕业季期间，各快递公司具体优惠政策如下： ①申通快递公司毕业季价格比日常低45%，单件包裹重量20kg以上纸箱免费，编织袋免费使用。②圆通快递公司毕业季价格比日常低45%，5kg以上可以享受毕业季优惠价格。③韵达快递公司毕业季价格比日常低45%，单件包裹重量20kg以上纸箱免费，编织袋免费使用。④京东快递公司毕业季价格比日常低40%左右。⑤顺丰快递公司现场领取优惠券后享受8.5折优惠。⑥中国邮政毕业季价格在去年基础上再优惠15%。详见托运现场毕业季价格公示牌。 
2024-06-18,毕业年级6月份之前在北医三院产生的医疗费用，有最晚处理时间吗？,149,校医院,  同学你好，你的问题我们已收到。目前已经六月，毕业生需要把手里所有需要报销的票据一次性报销完毕。  需要注意的是，6月只能报销一次，6月最后一个报销日为6月26日，上午8：00-11：00，下午14：00-16：30。  如有其他疑问，请拨打58809878具体咨询。
2024-06-18,请问毕业生的学位服何时发放？,196,教务部（研究生院）,6月21日上午开完学位评定委员会，确定可授予学位名单后就可以发放。还您请耐心等待。本次发放的专属学位服，是免费赠送给毕业生的，不予收回。顺祝您毕业快乐！
2024-06-18,请问毕业生什么时候可以寄存行李？,133,总务部,  学校为在本校继续攻读硕士、博士研究生的毕业生及本科延期毕业生提供行李存放服务。  存放地点：学1楼地下一层；  寄存手续办理时间：  6月19日(星期三)--6月30日(星期日)，8:00-11:30，14:00-17:00。  对于其他有特殊困难需要存放行李的学生，可向院(系)提出申请，经审核后报总务部根据实际情况安排存放。
2024-06-18,可以购买毕业生挂有灰色通行证的电动自行车吗？,169,保卫处,关于是否可以购买毕业生挂有灰色通行证的电动自行车的问题，如果您是希望能够保留此电动自行车通行证的使用功能，就不建议您购买。我校电动自行车管理遵循“减少存量、控制增量”的原则，2024届毕业生的灰色电动自行车通行证，将于2024年7月8日失效。届时挂有灰色通行证的电动自行车将禁止入校，只能在校外使用。
2024-06-18,2024届毕业生本校升学或就业或延期毕业，电动自行车还能继续在校内使用吗？,121,保卫处,如果您是2024届毕业生本校升学或就业，或者延期毕业，您可携带相关证明，在工作日前往保卫处106办公室，办理电动自行车车证延期手续。
2024-06-18,为什么在校外、通过信息门户，访问不了教务管理系统呢？,43,信息化建设办公室、信息网络中心,答：同学你好，如果从校外访问教务管理系统，可以使用WEB VPN登录，网址 https://webvpn.bnu.edu.cn如果您在使用中有疑问，可通过010-58808113电话咨询，或通过学校微信企业号--信息网络中心--微信在线咨询沟通。
2024-06-18,夏季来临，大浴室的开放时间能不能长一些，满足同学们的生活需求？,90,总务部,答：同学你好，天气转热，为更好地满足同学们洗浴需求，经学校研究决定：自2024年6月6日起，将调整学校大浴室开放时间（6月5日-6月19日为试运行阶段）。具体开放时间如下：一、夏秋季（5月1日—10月31日）每天7:00—9:00；11:00—13:00；16:00—23:30二、冬春季（11月1日—4月30日）每天10:00—23:30。学16楼及其他楼宇内浴室继续执行现行开放时间。
2024-06-18,怎么补办水卡？水卡怎么充值？,60,总务部,1、补办水卡在学4东侧服务大厅，工作时间周一至周五10:00-14:00。补办水卡时请本人携带校园卡到现场办理。2、（1）水卡充值在学4东侧服务大厅，或部分宿舍大厅内“水卡自动充卡机”办理。  （2）充值后需要进行转款，直饮水卡系统为双钱包账户管理。主钱包为保护账户，副钱包为消费账户。转款步骤：初次办卡后，副钱包内20元使用完或快使用完时，请移步9号楼、12号楼、15号楼、16号楼等宿舍大厅内“直饮水卡转款机”，进行转款。如:卡中存入200元，转出20元到副钱包来消费，剩余的180元被主钱包进行保护，当卡出现丢失或异常情况时，请携带押金条，电话联系工作人员，进行挂失朴卡等操作，丢失的水卡将不能使用。转款提示:将卡贴近感应区，听到“滴”的一声后，屏英受示转款成功，并显示主副钱包余额时方可拿开卡片;主钱包金额保护，转入副钱包的金额无法挂失找回。提示:请要善保管直饮水卡，毕业可退卡、防止丢失每天限转1次，每次转20元。水卡转款系统服务电话:13311315514 投诉电话:13911502167
